2026-04-18 21:15:04 | memory | default_trace_id | INFO | {"event_id": "abea346f-4f7e-4f72-b72f-433d78be6e7f", "event_type": "memory_init", "log_level": "INFO", "timestamp": "2026-04-18T21:15:04.117375+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Starting kv store migration", "metadata": {}}
2026-04-18 21:15:24 | memory | default_trace_id | INFO | {"event_id": "7cd990c9-465d-4228-9e6c-319f1be3ccfe", "event_type": "memory_process", "log_level": "INFO", "timestamp": "2026-04-18T21:15:24.466459+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Memory units generated successfully", "metadata": {"all_memory_result": {"variable": [{"mem_type": "variable", "mem_id": "", "variable_name": "姓名", "variable_mem": "张三"}, {"mem_type": "variable", "mem_id": "", "variable_name": "职业", "variable_mem": "软件工程师"}, {"mem_type": "variable", "mem_id": "", "variable_name": "居住地", "variable_mem": "杭州"}, {"mem_type": "variable", "mem_id": "", "variable_name": "爱好", "variable_mem": "打羽毛球和看电影"}, {"mem_type": "variable", "mem_id": "", "variable_name": "年龄", "variable_mem": "25岁"}], "summary": [{"mem_type": "summary", "mem_id": "019da0bb26adf85d621d4e98", "summary": "用户张三今年25岁，是一名软件工程师，目前在杭州工作，爱好是打羽毛球和看电影。", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}], "user_profile": [{"mem_type": "user_profile", "mem_id": "019da0bb53b2cbf24e1d4e98", "content": "用户的名字是张三", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}, {"mem_type": "user_profile", "mem_id": "019da0bb53b26c14a81d4e98", "content": "用户年龄是25岁", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}, {"mem_type": "user_profile", "mem_id": "019da0bb53b26055f91d4e98", "content": "用户的职业是软件工程师", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}, {"mem_type": "user_profile", "mem_id": "019da0bb53b254f0ba1d4e98", "content": "用户的工作地点在杭州", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}, {"mem_type": "user_profile", "mem_id": "019da0bb53b282d80c1d4e98", "content": "用户喜欢打羽毛球", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}, {"mem_type": "user_profile", "mem_id": "019da0bb53b2010e141d4e98", "content": "用户喜欢看电影", "message_mem_id": "019da0bb049952da1b1d4e98", "timestamp": "2026-04-18 13:15:04"}]}}, "user_id": "demo_user_001", "scope_id": "demo_scope_001"}
2026-04-18 21:15:30 | memory | default_trace_id | ERROR | {"event_id": "0607262a-be1d-4332-b21b-71d9bcab9f23", "event_type": "memory_store", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:30.264653+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to add documents to semantic store.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_summary"}, "scope_id": "demo_scope_001"}
2026-04-18 21:15:30 | memory | default_trace_id | ERROR | {"event_id": "4446f32d-6405-457b-827b-0553c941e005", "event_type": "memory_store", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:30.265270+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to add mem", "exception": "[158002] failed to add summary memory, reason: summary add to vector store failed", "metadata": {}, "memory_type": "summary"}
2026-04-18 21:15:35 | memory | default_trace_id | ERROR | {"event_id": "743deb40-4ca9-45ab-8d76-71c13b63fa65", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:35.865984+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_user_profile"}, "query": "用户的职业是什么？"}
2026-04-18 21:15:40 | memory | default_trace_id | ERROR | {"event_id": "c1d63d6e-4956-4622-abf8-ff4f144f3754", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:40.992555+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_episodic_memory"}, "query": "用户的职业是什么？"}
2026-04-18 21:15:46 | memory | default_trace_id | ERROR | {"event_id": "36a142f8-7aef-4007-a610-8710d2306f2f", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:46.029197+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_semantic_memory"}, "query": "用户的职业是什么？"}
2026-04-18 21:15:51 | memory | default_trace_id | ERROR | {"event_id": "56b88cc8-78e5-405a-929f-34d7e883d089", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:51.089425+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_user_profile"}, "query": "用户喜欢做什么？"}
2026-04-18 21:15:56 | memory | default_trace_id | ERROR | {"event_id": "275fee77-22b6-4fbd-9ca8-220838c866bd", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:15:56.051734+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_episodic_memory"}, "query": "用户喜欢做什么？"}
2026-04-18 21:16:00 | memory | default_trace_id | ERROR | {"event_id": "68071d15-2b0d-4844-b769-3b2ff46f14fa", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:16:00.929162+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_semantic_memory"}, "query": "用户喜欢做什么？"}
2026-04-18 21:16:06 | memory | default_trace_id | ERROR | {"event_id": "36947d8c-c01c-4dcf-83dd-63acd40dbe47", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:16:06.074437+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_user_profile"}, "query": "用户住在哪里？"}
2026-04-18 21:16:11 | memory | default_trace_id | ERROR | {"event_id": "0b21c27f-89c2-4391-a794-65d5bcb46329", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:16:11.273865+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_episodic_memory"}, "query": "用户住在哪里？"}
2026-04-18 21:16:16 | memory | default_trace_id | ERROR | {"event_id": "4b355750-4b0f-4f17-b5dd-35c49c301e8e", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:16:16.484855+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_semantic_memory"}, "query": "用户住在哪里？"}
2026-04-18 21:16:21 | memory | default_trace_id | ERROR | {"event_id": "f51c7d54-6440-4fd2-8b6e-518d42bf1c34", "event_type": "memory_retrieve", "log_level": "ERROR", "timestamp": "2026-04-18T21:16:21.428884+08:00", "module_type": "memory", "module_id": "memory", "module_name": "memory", "status": "success", "message": "Failed to embed query.", "exception": "[155004] retrieval embedding_request call failed, reason: Failed to get embedding after 3 attempts", "metadata": {"collection_name": "uid_demo_user_001_gid_demo_scope_001_mtype_summary"}, "query": "用户的个人信息"}
